,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
282,14,16,2770.65625,554131.25,34.3474355227983,31735.999999999935
283,14,17,2770.65625,554131.25,34.3474355227983,31735.999999999935
284,14,18,2770.65625,554131.25,34.3474355227983,31735.999999999935
285,14,19,2770.65625,554131.25,34.3474355227983,31735.999999999935
286,14,20,2770.65625,554131.25,34.3474355227983,31735.999999999935
287,14,21,2770.65625,554131.25,34.3474355227983,31735.999999999935
288,14,22,2770.65625,554131.25,34.3474355227983,31735.999999999935
289,14,23,2770.65625,554131.25,34.3474355227983,31735.999999999935
290,14,24,2770.65625,554131.25,34.3474355227983,31735.999999999935
291,14,25,2770.65625,554131.25,34.3474355227983,31735.999999999935
292,14,26,2770.65625,554131.25,34.3474355227983,31735.999999999935
293,14,27,2770.65625,554131.25,34.3474355227983,31735.999999999935
294,14,28,2770.65625,554131.25,34.3474355227983,31735.999999999935
295,14,29,2770.65625,554131.25,34.3474355227983,31735.999999999935
296,14,30,2770.65625,554131.25,34.3474355227983,31735.999999999935
297,14,31,2770.65625,554131.25,34.3474355227983,31735.999999999935
298,14,32,2770.65625,554131.25,34.3474355227983,31735.999999999935
299,14,33,2770.65625,554131.25,34.3474355227983,31735.999999999935
300,14,34,2770.65625,554131.25,34.3474355227983,31735.999999999935
301,14,35,2770.65625,554131.25,34.3474355227983,31735.999999999935
302,14,36,2770.65625,554131.25,34.3474355227983,31735.999999999935
303,14,37,2770.65625,554131.25,34.3474355227983,31735.999999999935
304,14,38,2770.65625,554131.25,34.3474355227983,31735.999999999935
305,14,39,2770.65625,554131.25,34.3474355227983,31735.999999999935
306,15,6,2755.57375,551114.75,45.19101190621445,41665.99999999996
307,15,7,2755.57375,551114.75,45.19101190621445,41665.99999999996
308,15,8,2755.57375,551114.75,45.19101190621445,41665.99999999996
309,15,9,2755.57375,551114.75,45.19101190621445,41665.99999999996
310,15,10,2755.57375,551114.75,45.19101190621445,41665.99999999996
311,15,11,2755.57375,551114.75,45.19101190621445,41665.99999999996
312,15,12,2755.57375,551114.75,45.19101190621445,41665.99999999996
313,15,13,2755.57375,551114.75,45.19101190621445,41665.99999999996
314,15,14,2755.57375,551114.75,45.19101190621445,41665.99999999996
315,15,15,2755.57375,551114.75,45.19101190621445,41665.99999999996
316,15,16,2755.57375,551114.75,45.19101190621445,41665.99999999996
317,15,17,2755.57375,551114.75,45.19101190621445,41665.99999999996
318,15,18,2755.57375,551114.75,45.19101190621445,41665.99999999996
319,15,19,2755.57375,551114.75,45.19101190621445,41665.99999999996
320,15,20,2755.57375,551114.75,45.19101190621445,41665.99999999996
321,15,21,2755.57375,551114.75,45.19101190621445,41665.99999999996
322,15,22,2755.57375,551114.75,45.19101190621445,41665.99999999996
323,15,23,2755.57375,551114.75,45.19101190621445,41665.99999999996
324,15,24,2755.57375,551114.75,45.19101190621445,41665.99999999996
325,15,25,2755.57375,551114.75,45.19101190621445,41665.99999999996
