,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
231,6,11,12,17,12,6,194.98250000000007,38996.5,93.38990909777108,21651.749999999996
232,6,11,12,17,12,9,225.0750000000001,45015.0,61.7937689495049,15336.74999999996
233,6,11,12,17,12,12,194.16250000000005,38832.5,49.35100333662293,13126.74999999999
234,6,11,12,20,6,6,236.12875000000008,47225.75,62.86676063652203,16948.24999999997
235,6,11,12,20,6,9,266.4725,53294.5,53.45108612082138,13035.250000000007
236,6,11,12,20,6,12,150.71625000000003,30143.25,48.86029053329432,12528.999999999978
237,6,11,12,20,9,6,306.57625,61315.25,47.07666400323045,13698.249999999995
238,6,11,12,20,9,9,336.9200000000001,67384.0,36.88927844379088,9785.249999999967
239,6,11,12,20,9,12,219.53875,43907.75,39.69943757030368,11028.999999999989
240,6,11,12,20,12,6,233.51000000000002,46702.0,76.03372661065542,19027.249999999985
241,6,11,12,20,12,9,264.85375000000005,52970.75,66.75020977785626,15114.249999999976
242,6,11,12,20,12,12,148.97249999999997,29794.5,60.130381329228314,14550.499999999989
243,6,11,15,17,6,6,157.76125000000008,31552.25,53.94656241994947,12109.25
244,6,11,15,17,6,9,174.69375,34938.75,38.40309730639399,9869.499999999984
245,6,11,15,17,6,12,169.77,33954.0,35.42644941673508,13165.000000000022
246,6,11,15,17,9,6,214.59500000000008,42919.0,56.634172162060835,12839.249999999995
247,6,11,15,17,9,9,234.7775,46955.5,40.887611626516396,10599.499999999975
248,6,11,15,17,9,12,226.60375,45320.75,34.54351116563008,12038.5
249,6,11,15,17,12,6,177.65000000000006,35530.0,59.269424220849324,12903.24999999999
250,6,11,15,17,12,9,197.83250000000004,39566.5,42.613942893679834,10663.499999999962
251,6,11,15,17,12,12,189.65875,37931.75,35.526209008078496,12038.499999999989
252,6,11,15,20,6,6,279.87125000000003,55974.25,35.3440594059406,7139.5
253,6,11,15,20,6,9,285.79875000000004,57159.75,35.31178401139388,11404.999999999996
254,6,11,15,20,6,12,219.80249999999995,43960.5,48.218292706315516,12570.749999999985
255,6,11,15,20,9,6,223.63125,44726.25,41.33415841584156,8349.499999999995
256,6,11,15,20,9,9,237.93375,47586.75,35.938452163315034,11795.000000000007
257,6,11,15,20,9,12,173.68749999999997,34737.5,44.286281911194955,11145.749999999987
258,6,11,15,20,12,6,209.9225,41984.5,42.50735847129496,11444.999999999965
259,6,11,15,20,12,9,229.84999999999997,45970.0,39.99864353900672,11794.999999999993
260,6,11,15,20,12,12,165.6037499999999,33120.75,57.23942760572391,14309.99999999999
261,6,11,18,20,6,6,154.9487499999999,30989.75,55.21012174184483,14149.249999999989
262,6,11,18,20,6,9,198.90499999999994,39781.0,43.2431699177948,11954.24999999998
263,6,11,18,20,6,12,206.44624999999994,41289.25,41.43914835050944,12495.249999999982
264,6,11,18,20,9,6,134.7774999999999,26955.5,57.00247278332638,13312.500000000015
265,6,11,18,20,9,9,178.73374999999984,35746.75,42.5548796614652,10458.500000000002
266,6,11,18,20,9,12,186.2749999999999,37255.0,40.610289638367405,10999.499999999998
267,6,11,18,20,12,6,118.30124999999984,23660.25,55.655750992948086,13732.500000000022
268,6,11,18,20,12,9,155.88249999999994,31176.5,47.65126715157063,11972.499999999998
269,6,11,18,20,12,12,162.29874999999993,32459.75,45.28257506536272,12513.500000000002
