,period_high,period_low,period_rsi,return,pnl,drawdown (%),drawdown (abs)
829,16,24,8,-90.6700000000001,-18134.0,96.76561954914702,29125.000000000004
830,16,24,10,72.6387499999998,14527.75,97.85126475770639,37068.74999999993
831,16,24,12,-77.15000000000008,-15430.0,99.15274638563083,37068.749999999905
832,16,24,14,144.83124999999976,28966.25,98.17497222336533,35786.24999999998
833,16,24,16,168.98624999999973,33797.25,98.86728597575721,35786.24999999991
834,16,24,18,-90.08250000000008,-18016.5,97.52328639189956,39681.24999999993
835,16,24,20,166.04249999999985,33208.5,95.01396934433795,37068.74999999992
836,16,24,22,165.66749999999985,33133.5,95.01396934433795,37068.74999999992
837,16,24,24,162.47249999999985,32494.5,94.57520091848454,37068.750000000015
838,16,24,26,162.47249999999985,32494.5,94.57520091848454,37068.750000000015
839,16,24,28,154.10874999999982,30821.75,94.57520091848454,37068.750000000015
840,16,26,6,-77.75000000000006,-15550.0,98.59717851407504,34228.74999999998
841,16,26,8,-85.86375000000007,-17172.75,98.23215835958074,34228.74999999997
842,16,26,10,-78.06000000000009,-15612.0,95.49863458367686,37068.750000000015
843,16,26,12,-72.63875000000009,-14527.75,98.03042028201428,35786.24999999997
844,16,26,14,-82.90125000000013,-16580.25,89.1145220144643,30466.250000000004
845,16,26,16,-76.01500000000013,-15203.0,89.78486701539829,30466.250000000047
846,16,26,18,-79.56375000000013,-15912.75,96.46976922726596,37068.74999999997
847,16,26,20,-81.31375000000011,-16262.75,97.35655051509843,37068.74999999995
848,16,26,22,-81.31375000000011,-16262.75,97.35655051509843,37068.74999999995
849,16,26,24,-78.9587500000001,-15791.75,96.21686512442818,37068.75000000004
850,16,26,26,-78.9587500000001,-15791.75,96.21686512442818,37068.75000000004
851,16,26,28,-78.9587500000001,-15791.75,96.21686512442818,37068.75000000004
852,16,28,6,-87.27000000000005,-17454.0,92.47907894035501,30362.49999999999
853,16,28,8,-86.99000000000007,-17398.0,91.00241274408431,30362.50000000005
854,16,28,10,-76.52500000000005,-15305.0,98.76966733723242,37068.75000000002
855,16,28,12,-76.92625000000011,-15385.25,99.03420361873087,37068.74999999992
856,16,28,14,-78.42625000000012,-15685.25,99.61837224370069,34978.75000000004
857,16,28,16,-77.61000000000013,-15522.0,90.63694646496205,30466.25000000001
858,16,28,18,-81.1587500000001,-16231.75,97.27734951615552,37068.74999999999
859,16,28,20,-82.90875000000011,-16581.75,98.17910941897041,37068.74999999999
860,16,28,22,-76.4212500000001,-15284.25,99.0315578560695,37068.75000000003
861,16,28,24,-82.17875000000011,-16435.75,97.85255627635637,37068.75000000006
862,16,28,26,-82.17875000000011,-16435.75,97.85255627635637,37068.75000000006
863,16,28,28,-82.17875000000011,-16435.75,97.85255627635637,37068.75000000006
864,18,6,6,242.58499999999987,48517.0,83.01812158520615,16790.000000000015
865,18,6,8,232.4712499999999,46494.25,57.18749999999999,11437.5
866,18,6,10,267.81374999999986,53562.75,50.70675834238032,11559.999999999998
867,18,6,12,359.3799999999999,71876.0,57.807721492791345,12570.000000000004
868,18,6,14,343.91374999999994,68782.75,49.71425181435267,12569.999999999993
869,18,6,16,336.6725,67334.5,60.11044489885514,13007.749999999996
870,18,6,18,386.01874999999995,77203.75,59.38182774911637,12977.749999999985
871,18,6,20,380.9049999999999,76181.0,59.38182774911637,12977.749999999985
872,18,6,22,398.71625,79743.25,57.12100705333468,12977.75
873,18,6,24,389.9575,77991.5,61.76456513937079,12907.250000000011
874,18,6,26,394.7075,78941.5,60.59832134292576,12634.75000000002
875,18,6,28,399.00375,79800.75,64.4,12880.000000000002
