,period_sma5,period_sma25,period_he,period_direc,return,pnl,drawdown (%),drawdown (abs)
1529,13,18,20,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1530,13,18,20,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1531,13,18,20,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1532,13,18,20,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1533,13,18,20,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1534,13,18,20,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1535,13,18,20,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1536,13,20,6,6,2300.96375,460192.75,39.55859975835151,47965.00000000003
1537,13,20,6,8,2322.07875,464415.75,39.58251239403437,47964.99999999997
1538,13,20,6,10,2295.87875,459175.75,40.14823836159362,47964.999999999796
1539,13,20,6,12,2370.915,474183.0,40.65981431696027,50703.50000000019
1540,13,20,6,14,2313.005,462601.0,45.03779590821312,55216.0000000001
1541,13,20,6,16,2288.2412500000005,457648.25,47.84759065769205,55216.00000000009
1542,13,20,6,18,2288.1650000000004,457633.0,47.146318294856584,55216.000000000146
1543,13,20,6,20,2227.4249999999997,445485.0,48.64063707817905,55215.9999999999
1544,13,20,8,6,2300.96375,460192.75,39.55859975835151,47965.00000000003
1545,13,20,8,8,2322.07875,464415.75,39.58251239403437,47964.99999999997
1546,13,20,8,10,2295.87875,459175.75,40.14823836159362,47964.999999999796
1547,13,20,8,12,2370.915,474183.0,40.65981431696027,50703.50000000019
1548,13,20,8,14,2313.005,462601.0,45.03779590821312,55216.0000000001
1549,13,20,8,16,2288.2412500000005,457648.25,47.84759065769205,55216.00000000009
1550,13,20,8,18,2288.1650000000004,457633.0,47.146318294856584,55216.000000000146
1551,13,20,8,20,2227.4249999999997,445485.0,48.64063707817905,55215.9999999999
1552,13,20,10,6,2300.96375,460192.75,39.55859975835151,47965.00000000003
1553,13,20,10,8,2322.07875,464415.75,39.58251239403437,47964.99999999997
1554,13,20,10,10,2295.87875,459175.75,40.14823836159362,47964.999999999796
1555,13,20,10,12,2370.915,474183.0,40.65981431696027,50703.50000000019
1556,13,20,10,14,2313.005,462601.0,45.03779590821312,55216.0000000001
1557,13,20,10,16,2288.2412500000005,457648.25,47.84759065769205,55216.00000000009
1558,13,20,10,18,2288.1650000000004,457633.0,47.146318294856584,55216.000000000146
1559,13,20,10,20,2227.4249999999997,445485.0,48.64063707817905,55215.9999999999
1560,13,20,12,6,2300.96375,460192.75,39.55859975835151,47965.00000000003
1561,13,20,12,8,2322.07875,464415.75,39.58251239403437,47964.99999999997
1562,13,20,12,10,2295.87875,459175.75,40.14823836159362,47964.999999999796
1563,13,20,12,12,2370.915,474183.0,40.65981431696027,50703.50000000019
1564,13,20,12,14,2313.005,462601.0,45.03779590821312,55216.0000000001
1565,13,20,12,16,2288.2412500000005,457648.25,47.84759065769205,55216.00000000009
1566,13,20,12,18,2288.1650000000004,457633.0,47.146318294856584,55216.000000000146
1567,13,20,12,20,2227.4249999999997,445485.0,48.64063707817905,55215.9999999999
1568,13,20,14,6,2300.96375,460192.75,39.55859975835151,47965.00000000003
1569,13,20,14,8,2322.07875,464415.75,39.58251239403437,47964.99999999997
