,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
326,12,6,7,-75.86125000000004,-15172.25,95.89350815132146,22160.750000000015
327,12,6,9,-75.19500000000002,-15039.0,95.70628966491509,22356.750000000004
328,12,6,11,-74.13375000000002,-14826.75,98.89396310371623,23225.000000000022
329,12,6,13,-73.13375000000002,-14626.75,96.58419637361096,22359.000000000004
330,12,6,15,-79.74625,-15949.25,99.21518525278336,21743.999999999978
331,12,6,17,-76.96625,-15393.25,98.33455010038328,21550.99999999998
332,12,6,19,-76.32374999999998,-15264.75,97.65437139875687,21524.000000000004
333,12,8,3,174.38374999999994,34876.75,96.04355349798864,21368.249999999996
334,12,8,5,-76.65250000000002,-15330.5,96.97166388235672,22783.250000000022
335,12,8,7,-75.19500000000002,-15039.0,95.70628966491509,22356.750000000004
336,12,8,9,-72.315,-14463.0,97.30666637868656,22526.249999999993
337,12,8,11,-76.04124999999995,-15208.25,96.01291590621925,22226.749999999993
338,12,8,13,-79.98249999999996,-15996.5,99.4442873610718,22860.749999999993
339,12,8,15,-75.81749999999997,-15163.5,97.32304900181485,21986.249999999993
340,12,8,17,-70.87124999999997,-14174.25,93.95251497438115,19528.49999999999
341,12,8,19,-72.71374999999998,-14542.75,95.18914778483355,19262.000000000004
342,12,10,3,176.49874999999992,35299.75,95.28008929262123,21554.500000000004
343,12,10,5,-75.94500000000004,-15189.0,96.47684585665516,22536.750000000004
344,12,10,7,-75.13375000000002,-15026.75,98.29719882301703,23134.0
345,12,10,9,-76.23249999999996,-15246.5,95.30016522856614,22061.749999999993
346,12,10,11,-79.98249999999996,-15996.5,99.4442873610718,22860.749999999993
347,12,10,13,-77.18249999999999,-15436.5,96.49421749263442,21943.749999999975
348,12,10,15,-69.99624999999997,-13999.25,93.11058189603327,19353.49999999999
349,12,10,17,-79.08249999999998,-15816.5,95.8496316383096,19970.749999999993
350,12,10,19,-76.32625,-15265.25,94.17836192173458,19024.499999999993
351,12,12,3,569.235,113847.0,31.71920823396821,12735.5
352,12,12,5,569.235,113847.0,31.71920823396821,12735.5
353,12,12,7,569.235,113847.0,31.71920823396821,12735.5
354,12,12,9,569.235,113847.0,31.71920823396821,12735.5
355,12,12,11,569.235,113847.0,31.71920823396821,12735.5
356,12,12,13,569.235,113847.0,31.71920823396821,12735.5
357,12,12,15,569.235,113847.0,31.71920823396821,12735.5
358,12,12,17,569.235,113847.0,31.71920823396821,12735.5
359,12,12,19,569.235,113847.0,31.71920823396821,12735.5
360,12,14,3,419.95625,83991.25,42.83648374075788,35471.50000000012
361,12,14,5,448.90749999999997,89781.5,40.20771342568879,34930.24999999998
362,12,14,7,506.76500000000016,101353.0,32.302691195719284,28072.249999999876
363,12,14,9,592.2325000000002,118446.5,26.011428571428606,9388.500000000022
364,12,14,11,646.1587500000002,129231.75,24.90350729988257,9275.000000000015
365,12,14,13,673.3362500000001,134667.25,22.754186584329982,9175.000000000011
366,12,14,15,685.7062500000002,137141.25,22.636295789155582,9175.000000000018
367,12,14,17,667.24125,133448.25,26.70334346879492,10824.000000000007
368,12,14,19,627.8050000000002,125561.0,25.870439643191684,10564.0
369,12,16,3,425.9262500000001,85185.25,43.28497994173187,35471.50000000007
370,12,16,5,483.46,96692.0,32.977292484082405,28072.24999999995
371,12,16,7,535.8900000000001,107178.0,31.95849509423304,28297.249999999905
372,12,16,9,633.2825000000001,126656.5,24.90350729988257,9275.000000000015
373,12,16,11,659.1987500000002,131839.75,23.002188617946672,9275.000000000018
374,12,16,13,685.7062500000002,137141.25,22.636295789155582,9175.000000000018
375,12,16,15,667.46,133492.0,26.674552713292883,10823.999999999993
376,12,16,17,632.37625,126475.25,24.152848756694496,9854.0
377,12,16,19,626.0100000000001,125202.0,24.34679481636137,9854.000000000022
378,12,18,3,464.2312500000001,92846.25,39.90957961138214,34670.24999999989
379,12,18,5,525.1762500000002,105035.25,31.432308444227182,28297.249999999847
380,12,18,7,611.69625,122339.25,25.343722943722984,9147.500000000025
381,12,18,9,639.9312500000001,127986.25,24.411909853594416,9275.000000000033
382,12,18,11,682.2412500000002,136448.25,22.156501683313767,8934.0
383,12,18,13,650.6100000000001,130122.0,26.70334346879492,10824.000000000007
384,12,18,15,632.37625,126475.25,24.152848756694496,9854.0
385,12,18,17,626.0100000000001,125202.0,24.34679481636137,9854.000000000022
386,12,18,19,649.4900000000001,129898.0,25.66912512876904,10154.000000000004
387,12,20,3,465.02875,93005.75,40.999221943515344,35305.249999999935
388,12,20,5,565.3637500000001,113072.75,30.79185188006332,28297.249999999993
389,12,20,7,641.1762500000001,128235.25,24.721053531725737,9034.000000000025
