,period_high,period_low,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
10212,17,16,3,6,17,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
10213,17,16,3,8,5,-76.545,-15309.0,84.92290429998555,23462.500000000007
10214,17,16,3,8,7,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10215,17,16,3,8,9,78.25124999999986,15650.25,90.09484678596118,23462.499999999985
10216,17,16,3,8,11,214.2512499999999,42850.25,45.55103938687001,14204.750000000015
10217,17,16,3,8,13,214.2512499999999,42850.25,45.55103938687001,14204.750000000015
10218,17,16,3,8,15,198.2512499999999,39650.25,45.51305642107675,13913.000000000007
10219,17,16,3,8,17,61.48749999999984,12297.5,92.75823556737205,23462.500000000007
10220,17,16,3,10,5,-79.1725,-15834.5,95.79659275746944,27975.000000000036
10221,17,16,3,10,7,78.25124999999986,15650.25,90.09484678596118,23462.499999999985
10222,17,16,3,10,9,214.2512499999999,42850.25,45.55103938687001,14204.750000000015
10223,17,16,3,10,11,211.12624999999986,42225.25,45.51305642107675,13913.000000000007
10224,17,16,3,10,13,196.87624999999989,39375.25,45.51305642107675,13913.000000000007
10225,17,16,3,10,15,202.18874999999989,40437.75,43.97038722573815,13913.000000000007
10226,17,16,3,10,17,65.42499999999988,13085.0,88.98518019854552,23462.50000000001
10227,17,16,3,12,5,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10228,17,16,3,12,7,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
10229,17,16,3,12,9,214.2512499999999,42850.25,44.615470950880685,13913.000000000015
10230,17,16,3,12,11,196.87624999999989,39375.25,45.51305642107675,13913.000000000007
10231,17,16,3,12,13,202.18874999999989,40437.75,43.97038722573815,13913.000000000007
10232,17,16,3,12,15,65.42499999999988,13085.0,88.98518019854552,23462.50000000001
10233,17,16,3,12,17,43.924999999999876,8785.0,91.28755824019767,23462.500000000022
10234,17,16,3,14,5,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10235,17,16,3,14,7,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
10236,17,16,3,14,9,198.2512499999999,39650.25,45.51305642107675,13913.000000000007
10237,17,16,3,14,11,202.18874999999989,40437.75,43.97038722573815,13913.000000000007
10238,17,16,3,14,13,69.92499999999987,13985.0,88.98518019854552,23462.50000000001
10239,17,16,3,14,15,-81.12374999999999,-16224.75,96.9259153392407,27974.99999999998
10240,17,16,3,14,17,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10241,17,16,3,16,5,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10242,17,16,3,16,7,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
10243,17,16,3,16,9,198.2512499999999,39650.25,45.51305642107675,13913.000000000007
10244,17,16,3,16,11,65.42499999999988,13085.0,88.98518019854552,23462.50000000001
10245,17,16,3,16,13,-81.12374999999999,-16224.75,96.9259153392407,27974.99999999998
10246,17,16,3,16,15,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10247,17,16,3,16,17,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10248,17,16,3,18,5,-79.1725,-15834.5,95.79659275746944,27975.000000000036
10249,17,16,3,18,7,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
10250,17,16,3,18,9,61.48749999999984,12297.5,92.75823556737205,23462.500000000007
10251,17,16,3,18,11,45.299999999999876,9060.0,91.28755824019767,23462.500000000022
10252,17,16,3,18,13,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10253,17,16,3,18,15,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10254,17,16,3,18,17,-76.52125,-15304.25,93.89868340451957,27974.999999999956
10255,17,16,3,20,5,-79.1725,-15834.5,95.79659275746944,27975.000000000036
10256,17,16,3,20,7,61.48749999999984,12297.5,92.75823556737205,23462.500000000007
10257,17,16,3,20,9,65.98749999999983,13197.5,92.75823556737205,23462.500000000007
10258,17,16,3,20,11,-81.12374999999999,-16224.75,96.9259153392407,27974.99999999998
10259,17,16,3,20,13,-78.27125000000001,-15654.25,95.01490180095271,27975.0
10260,17,16,3,20,15,-76.52125,-15304.25,93.89868340451957,27974.999999999956
10261,17,16,3,20,17,-80.27125000000001,-16054.25,96.29036838165062,27974.999999999996
10262,17,16,6,9,5,212.87624999999983,42575.25,44.615470950880685,13913.000000000015
10263,17,16,6,9,7,202.18874999999989,40437.75,43.97038722573815,13913.000000000007
10264,17,16,6,9,9,160.5637499999999,32112.75,44.014462459748046,13634.250000000015
10265,17,16,6,9,11,151.77124999999992,30354.25,46.04104581563999,13634.25000000003
10266,17,16,6,9,13,158.95124999999993,31790.25,50.42571288651382,14673.000000000033
10267,17,16,6,9,15,171.07749999999996,34215.5,49.82639036275502,14673.000000000022
10268,17,16,6,9,17,163.42999999999995,32686.0,48.863172792740286,14672.999999999998
10269,17,16,6,11,5,196.87624999999989,39375.25,45.51305642107675,13913.000000000007
10270,17,16,6,11,7,160.5637499999999,32112.75,44.014462459748046,13634.250000000015
10271,17,16,6,11,9,151.77124999999992,30354.25,46.04104581563999,13634.25000000003
10272,17,16,6,11,11,169.32749999999996,33865.5,50.42571288651382,14673.000000000033
10273,17,16,6,11,13,149.05499999999995,29811.0,54.01684229901984,14672.999999999998
10274,17,16,6,11,15,151.7887499999999,30357.75,51.47337402652074,14673.000000000011
10275,17,16,6,11,17,163.84124999999995,32768.25,47.44474803162339,14673.000000000007
10276,17,16,6,13,5,202.18874999999989,40437.75,43.97038722573815,13913.000000000007
