,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
148,11,14,14,293.0181249999998,58603.62,79.7918760977873,54172.49999999993
149,11,14,16,275.90374999999983,55180.75,71.48895861335359,34678.14999999991
150,11,14,18,347.42562500000014,69485.13,39.76213743485162,28075.25000000005
151,11,14,20,190.03250000000003,38006.5,57.77910521183799,32887.00000000004
152,11,16,6,2832.762678571429,566552.54,28.7419050540242,12416.000000000011
153,11,16,8,624.2887499999998,124857.75,92.25622020171527,47359.49999999992
154,11,16,10,1961.1262499999998,392225.25,33.75147729191296,29986.50000000006
155,11,16,12,238.24437499999956,47648.87,74.74742503288624,41764.750000000015
156,11,16,14,277.06937499999987,55413.87,82.94062850516154,54534.500000000015
157,11,16,16,249.165,49833.0,71.78092982292995,32805.499999999985
158,11,16,18,325.4468750000006,65089.38,27.465807469752825,14619.500000000044
159,11,16,20,98.24375000000045,19648.75,73.25182337471857,31963.249999999985
160,11,18,6,2681.361220238096,536272.24,40.36747788872453,63446.2714285711
161,11,18,8,553.9574999999995,110791.5,79.17127559578532,38113.249999999985
162,11,18,10,1962.49625,392499.25,36.907215924340626,33346.500000000065
163,11,18,12,219.4068749999995,43881.37,80.36549258904884,44515.249999999956
164,11,18,14,295.7868749999999,59157.37,77.43083909972638,54047.499999999985
165,11,18,16,279.68625000000003,55937.25,60.03181174117196,21607.249999999964
166,11,18,18,296.23812500000065,59247.63,28.601833433026968,20561.00000000013
167,11,18,20,81.2312500000004,16246.25,79.91431658977838,36420.74999999994
168,11,20,6,2642.2130952380953,528442.62,60.86550804779299,18491.549999999996
169,11,20,8,650.5799999999998,130116.0,55.67713311828647,28919.899999999918
170,11,20,10,1945.37875,389075.75,36.11137979397396,22400.24999999994
171,11,20,12,220.07937499999954,44015.87,89.09475672779129,49047.99999999992
172,11,20,14,296.5068749999999,59301.37,78.03059287225058,54047.50000000012
173,11,20,16,263.48500000000007,52697.0,64.10941437202098,31675.499999999924
174,11,20,18,261.88437500000043,52376.88,34.467562641735114,24774.24999999994
175,11,20,20,74.03125000000026,14806.25,82.88907808850183,37968.99999999998
176,13,16,6,2793.146666666666,558629.33,48.64533287577215,17010.300000000003
177,13,16,8,688.5731249999998,137714.62,42.29037601435318,19578.93750000005
178,13,16,10,1925.0375,385007.5,37.824441010080875,33346.49999999999
179,13,16,12,219.2831249999996,43856.62,80.30414394968457,43156.24999999994
180,13,16,14,265.2843749999999,53056.87,86.68647476071901,54047.499999999956
181,13,16,16,268.85625000000005,53771.25,66.0217103521313,31170.499999999938
182,13,16,18,301.0468750000005,60209.38,31.86965459660837,22711.749999999956
183,13,16,20,54.83125000000039,10966.25,98.06813684930032,40889.99999999995
184,13,18,6,2738.796220238095,547759.24,58.59889809172842,20075.249999999993
185,13,18,8,722.3593749999998,144471.87,45.701950283691076,24680.150000000012
186,13,18,10,1978.2962499999992,395659.25,35.723075483073416,32440.749999999978
187,13,18,12,288.0218749999996,57604.37,77.59389215260481,42431.25000000001
188,13,18,14,280.1968749999999,56039.37,83.6386426855359,54047.50000000012
189,13,18,16,278.4225,55684.5,66.2811586500133,31176.999999999916
190,13,18,18,322.5593750000002,64511.88,37.29589008413501,26574.999999999978
191,13,18,20,46.23374999999993,9246.75,97.93276542080345,39604.49999999993
192,13,20,6,2714.946458333333,542989.29,72.24006222305418,22383.80000000003
193,13,20,8,698.9799999999999,139796.0,52.55968825703044,25026.90000000002
194,13,20,10,1990.685,398137.0,34.305700196030415,22400.250000000015
195,13,20,12,237.43187499999965,47486.37,93.3484597338841,51529.749999999985
196,13,20,14,278.3768749999998,55675.37,83.04395925203202,54047.5000000001
197,13,20,16,273.72749999999996,54745.5,65.94468827666434,31176.99999999992
198,13,20,18,316.46687500000013,63293.38,36.89691079486291,26575.000000000022
199,13,20,20,40.33499999999987,8067.0,97.67578194393458,41237.25000000003
200,15,18,6,2718.893541666667,543778.71,53.909462243998796,19975.099999999988
201,15,18,8,627.2224999999999,125444.5,62.02701380616129,26945.000000000076
202,15,18,10,1974.3424999999997,394868.5,35.829948823035565,33920.75000000012
203,15,18,12,249.95562499999977,49991.12,86.27230550378987,49882.00000000005
204,15,18,14,286.45062499999995,57290.12,81.99606309665135,54047.49999999991
205,15,18,16,236.02375000000006,47204.75,76.11975094532735,33466.999999999956
206,15,18,18,289.1293750000002,57825.88,40.6162307988357,27175.000000000065
207,15,18,20,40.49499999999986,8099.0,96.34702662920635,41237.25000000007
208,15,20,6,2955.4047619047615,591080.95,61.13235118296425,23009.300000000003
209,15,20,8,586.4575,117291.5,58.34455363507314,23941.249999999993
210,15,20,10,1983.6275,396725.5,34.23696372001625,33449.000000000015
211,15,20,12,225.5943749999998,45118.87,87.77142305345724,49991.75000000009
212,15,20,14,257.23812499999997,51447.62,91.66453714942823,57393.000000000095
213,15,20,16,276.2000000000001,55240.0,68.24672577018957,33466.99999999988
214,15,20,18,309.61187500000017,61922.38,35.25949497168695,24875.75000000005
215,15,20,20,60.227499999999864,12045.5,85.44694578375952,36950.250000000015
216,17,20,6,2782.691636904762,556538.33,46.9084206991017,56985.100000000195
217,17,20,8,626.1674999999999,125233.5,57.37774101520955,25492.500000000022
218,17,20,10,1969.6774999999998,393935.5,38.452047459784204,37164.000000000095
219,17,20,12,267.4343749999998,53486.87,73.72617569738574,40384.25
220,17,20,14,331.063125,66212.62,78.65632016616807,53773.00000000001
221,17,20,16,326.3350000000001,65267.0,59.9684993477839,21607.249999999993
222,17,20,18,301.2406250000003,60248.13,38.69444095701183,28508.999999999956
223,17,20,20,74.8949999999999,14979.0,80.26018475443612,36230.25000000007
